Message_Type,Sender_Bank,Receiver_Bank,Service_Name,Settlement_Amount,Currency,Source_Row_Count,start_time,total_processing_minutes,n_create_auth_events,n_mod_auth_events,n_auth_mod_events,n_swift_auth_events,n_swift_mod_events,n_auth_swift_events,had_modification,had_auth_to_mod,had_swift_modification,had_rework,n_creator_touchpoints,n_modifier_touchpoints,n_authorizer_touchpoints,n_authorizer_to_mod_touchpoints,n_total_operator_touchpoints,n_unique_operators,start_hour,start_dayofweek,start_month,is_shift_1_hours,is_shift_2_hours,is_shift_overlap,is_shift_hours,is_outside_shift_hours,log_settlement_amount,sla_breached,prediction,breach_probability,interpretation,prediction_correct
MSG_03,BANK_01,BANK_15,SERVICE_02,484089,CCY_10,1,2026-01-05 07:00:00,13.15,0,0,1,1,0,0,0,1,0,1,0,0,1,1,2,1,7,0,1,1,0,0,1,0,13.09,0,0,0.265,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_29,SERVICE_03,70,CCY_06,3,2026-02-03 10:00:00,487.48,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,3,10,1,2,1,0,0,1,0,4.2627,1,1,0.97,Likely SLA breach,1
MSG_03,BANK_01,BANK_22,SERVICE_02,1500000,CCY_10,2,2026-01-22 08:00:00,11.2,0,1,0,0,0,1,1,0,0,1,0,1,1,0,2,2,8,3,1,1,0,0,1,0,14.221,0,0,0.21,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_15,SERVICE_02,787069,CCY_10,1,2025-12-22 11:00:00,2.33,0,0,1,1,0,0,0,1,0,1,0,0,1,1,2,1,11,0,12,1,1,1,1,0,13.5761,0,0,0.04,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_23,SERVICE_03,40000,CCY_17,3,2026-02-03 15:00:00,198.9,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,3,15,1,2,0,1,0,1,0,10.5967,1,1,0.985,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,4500,CCY_17,2,2026-01-27 10:00:00,499.62,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,10,1,1,1,0,0,1,0,8.4121,1,1,0.995,Likely SLA breach,1
MSG_03,BANK_01,BANK_57,SERVICE_02,5476720,CCY_10,3,2026-02-05 12:00:00,58.12,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,3,12,3,2,1,1,1,1,0,15.516,1,1,0.955,Likely SLA breach,1
MSG_02,BANK_01,BANK_15,SERVICE_02,14000,CCY_10,4,2026-02-04 07:00:00,386.13,0,3,5,3,0,1,1,1,0,1,0,3,6,5,14,4,7,2,2,1,0,0,1,0,9.5469,1,1,0.985,Likely SLA breach,1
MSG_03,BANK_01,BANK_06,SERVICE_02,170000,CCY_17,1,2025-11-25 15:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15,1,11,0,1,0,1,0,12.0436,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_23,SERVICE_03,1000,CCY_17,5,2026-01-09 11:00:00,13.18,0,2,2,1,0,1,1,1,0,1,0,2,3,2,7,3,11,4,1,1,1,1,1,0,6.9088,0,1,0.725,Likely SLA breach,0
MSG_04,BANK_01,BANK_57,SERVICE_02,5850,CCY_10,1,2025-10-15 15:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15,2,10,0,1,0,1,0,8.6744,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_15,SERVICE_02,1499125,CCY_10,3,2026-01-20 11:00:00,83.15,0,2,2,2,0,1,1,1,0,1,0,2,3,2,7,3,11,1,1,1,1,1,1,0,14.2204,1,1,0.97,Likely SLA breach,1
MSG_02,BANK_01,BANK_57,SERVICE_02,591808,CCY_10,1,2026-02-03 09:00:00,66.12,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,9,1,2,1,0,0,1,0,13.2909,1,1,0.97,Likely SLA breach,1
MSG_03,BANK_01,BANK_57,SERVICE_02,335710,CCY_10,1,2026-01-19 09:00:00,92.15,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,9,0,1,1,0,0,1,0,12.724,1,1,0.99,Likely SLA breach,1
MSG_03,BANK_01,BANK_14,SERVICE_02,16805172,CCY_10,2,2025-12-22 13:00:00,123.28,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,13,0,12,1,1,1,1,0,16.6372,1,1,0.845,Likely SLA breach,1
MSG_04,BANK_01,BANK_10,SERVICE_03,47,CCY_17,3,2026-02-02 13:00:00,131.53,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,13,0,2,1,1,1,1,0,3.8712,1,1,0.93,Likely SLA breach,1
MSG_03,BANK_01,BANK_15,SERVICE_02,325004,CCY_10,3,2026-01-09 15:00:00,61.13,0,1,2,1,0,0,1,1,0,1,0,1,2,2,5,3,15,4,1,0,1,0,1,0,12.6916,1,1,0.98,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,328,CCY_17,3,2026-02-04 14:00:00,20.65,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,14,2,2,1,1,1,1,0,5.7961,0,0,0.32,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_07,SERVICE_03,125090340,CCY_10,1,2025-09-30 18:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18,1,9,0,1,0,1,0,18.6445,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_34,SERVICE_02,1000,CCY_10,1,2026-01-23 17:00:00,3791.53,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,17,4,1,0,1,0,1,0,6.9088,1,1,0.955,Likely SLA breach,1
MSG_03,BANK_01,BANK_60,SERVICE_03,35893,CCY_07,2,2026-01-06 15:00:00,199.38,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,15,1,1,0,1,0,1,0,10.4883,1,1,0.975,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,218000,CCY_17,6,2026-01-30 15:00:00,4256.43,0,3,3,1,0,0,1,1,0,1,0,3,3,3,9,5,15,4,1,0,1,0,1,0,12.2923,1,1,0.9967,Likely SLA breach,1
MSG_03,BANK_01,BANK_14,SERVICE_02,195900,CCY_10,2,2025-12-23 13:00:00,89.88,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,13,1,12,1,1,1,1,0,12.1854,1,1,0.965,Likely SLA breach,1
MSG_03,BANK_01,BANK_62,SERVICE_02,204334,CCY_10,3,2026-01-14 13:00:00,67.9,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,13,2,1,1,1,1,1,0,12.2275,1,1,0.885,Likely SLA breach,1
MSG_03,BANK_01,BANK_14,SERVICE_02,7401011,CCY_10,2,2026-01-06 17:00:00,1014.63,0,1,2,2,0,0,1,1,0,1,0,1,2,2,5,2,17,1,1,0,1,0,1,0,15.8171,1,1,0.99,Likely SLA breach,1
MSG_03,BANK_01,BANK_62,SERVICE_02,400000,CCY_10,1,2026-01-27 13:00:00,111.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,13,1,1,1,1,1,1,0,12.8992,1,1,0.82,Likely SLA breach,1
MSG_03,BANK_01,BANK_15,SERVICE_02,265910,CCY_10,1,2026-02-03 13:00:00,99.3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,13,1,2,1,1,1,1,0,12.4909,1,1,0.79,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,1891,CCY_17,3,2026-01-14 12:00:00,103.02,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,3,12,2,1,1,1,1,1,0,7.5454,1,1,0.84,Likely SLA breach,1
MSG_03,BANK_01,BANK_56,SERVICE_02,500000,CCY_17,2,2026-01-19 15:00:00,1.73,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,15,0,1,0,1,0,1,0,13.1224,0,0,0.05,Not likely to breach SLA,1
MSG_02,BANK_01,BANK_15,SERVICE_02,8220,CCY_10,4,2026-02-03 07:00:00,280.37,0,2,2,1,0,1,1,1,0,1,0,2,3,2,7,3,7,1,2,1,0,0,1,0,9.0144,1,1,1.0,Likely SLA breach,1
MSG_03,BANK_01,BANK_45,SERVICE_02,16488743,CCY_10,1,2026-01-20 16:00:00,11.15,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,16,1,1,0,1,0,1,0,16.6182,0,0,0.0945,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_61,SERVICE_03,846000,CCY_09,3,2026-02-05 16:00:00,59.47,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,16,3,2,0,1,0,1,0,13.6483,1,1,0.975,Likely SLA breach,1
MSG_01,BANK_01,BANK_01,SERVICE_01,0,CCY_16,1,2026-01-22 11:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,11,3,1,1,1,1,1,0,0.0,0,0,0.01,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_34,SERVICE_02,100000,CCY_10,1,2025-11-28 10:00:00,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,10,4,11,1,0,0,1,0,11.5129,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_23,SERVICE_03,100,CCY_17,2,2026-01-19 07:00:00,127.67,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,7,0,1,1,0,0,1,0,4.6151,1,1,0.995,Likely SLA breach,1
MSG_03,BANK_01,BANK_46,SERVICE_02,22857,CCY_10,1,2025-12-29 10:00:00,0.05,0,2,0,0,0,0,1,0,0,1,0,2,0,0,2,1,10,0,12,1,0,0,1,0,10.0371,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_29,SERVICE_03,762,CCY_06,3,2026-01-19 14:00:00,23.0,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,14,0,1,1,1,1,1,0,6.6373,0,0,0.275,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_46,SERVICE_02,77760,CCY_10,1,2025-12-30 10:00:00,43.52,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,10,1,12,1,0,0,1,0,11.2614,1,1,0.955,Likely SLA breach,1
MSG_03,BANK_01,BANK_34,SERVICE_02,11456238,CCY_10,2,2025-12-16 16:00:00,139.75,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,16,1,12,0,1,0,1,0,16.254,1,1,0.905,Likely SLA breach,1
MSG_03,BANK_01,BANK_46,SERVICE_02,6529983,CCY_10,2,2025-12-22 14:00:00,51.08,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,14,0,12,1,1,1,1,0,15.6919,1,1,0.89,Likely SLA breach,1
MSG_03,BANK_01,BANK_14,SERVICE_02,7976201,CCY_10,2,2025-12-11 07:00:00,163.33,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,7,3,12,1,0,0,1,0,15.892,1,1,0.9,Likely SLA breach,1
MSG_03,BANK_01,BANK_57,SERVICE_02,370741,CCY_10,1,2025-12-17 13:00:00,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,13,2,12,1,1,1,1,0,12.8233,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_07,SERVICE_02,8285230,CCY_10,1,2026-01-22 07:00:00,63.37,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,7,3,1,1,0,0,1,0,15.93,1,1,0.985,Likely SLA breach,1
MSG_03,BANK_01,BANK_60,SERVICE_03,1400,CCY_07,2,2026-01-22 12:00:00,10.13,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,12,3,1,1,1,1,1,0,7.2449,0,0,0.195,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_23,SERVICE_03,15818,CCY_17,2,2026-01-05 16:00:00,62.1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,16,0,1,0,1,0,1,0,9.669,1,1,0.995,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,442,CCY_17,2,2025-12-16 18:00:00,1077.33,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,18,1,12,0,1,0,1,0,6.0936,1,1,1.0,Likely SLA breach,1
MSG_03,BANK_01,BANK_34,SERVICE_02,6000000,CCY_10,1,2026-02-04 11:00:00,5.72,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,11,2,2,1,1,1,1,0,15.6073,0,0,0.37,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_07,SERVICE_02,1820220,CCY_10,1,2026-01-15 12:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12,3,1,1,1,1,1,0,14.4145,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_23,SERVICE_03,3129,CCY_17,1,2025-12-18 16:00:00,75.5,0,0,2,2,0,0,0,1,0,1,0,0,2,2,4,1,16,3,12,0,1,0,1,0,8.0488,1,1,1.0,Likely SLA breach,1
MSG_03,BANK_01,BANK_60,SERVICE_03,68,CCY_07,3,2026-01-27 13:00:00,292.07,0,1,2,2,0,1,1,1,0,1,0,1,3,2,6,2,13,1,1,1,1,1,1,0,4.2341,1,1,0.975,Likely SLA breach,1
MSG_03,BANK_01,BANK_29,SERVICE_03,25480,CCY_06,2,2026-01-02 15:00:00,73.27,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,15,4,1,0,1,0,1,0,10.1457,1,1,0.925,Likely SLA breach,1
MSG_03,BANK_01,BANK_15,SERVICE_02,102000,CCY_10,1,2025-12-10 12:00:00,71.48,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,12,2,12,1,1,1,1,0,11.5327,1,1,0.885,Likely SLA breach,1
MSG_02,BANK_01,BANK_46,SERVICE_02,2338000,CCY_10,1,2025-11-26 18:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18,2,11,0,1,0,1,0,14.6648,0,0,0.005,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_46,SERVICE_02,18000000,CCY_10,2,2025-12-24 09:00:00,45.45,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,9,2,12,1,0,0,1,0,16.7059,1,1,0.99,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,7955,CCY_17,3,2026-01-12 13:00:00,60.75,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,3,13,0,1,1,1,1,1,0,8.9817,1,1,0.855,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,11520,CCY_17,1,2025-10-15 17:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17,2,10,0,1,0,1,0,9.3519,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_23,SERVICE_03,1628,CCY_17,1,2025-12-11 15:00:00,47.63,0,0,1,1,0,0,0,1,0,1,0,0,1,1,2,1,15,3,12,0,1,0,1,0,7.3957,1,1,0.89,Likely SLA breach,1
MSG_03,BANK_01,BANK_38,SERVICE_02,27469191,CCY_10,1,2026-01-15 18:00:00,938.7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,18,3,1,0,1,0,1,0,17.1286,1,1,1.0,Likely SLA breach,1
MSG_04,BANK_01,BANK_23,SERVICE_03,117220,CCY_17,1,2026-01-06 12:00:00,3184.73,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,12,1,1,1,1,1,1,0,11.6718,1,1,0.926,Likely SLA breach,1
MSG_03,BANK_01,BANK_14,SERVICE_02,199361,CCY_10,2,2026-01-21 10:00:00,60.22,0,1,2,2,0,1,1,1,0,1,0,1,3,2,6,2,10,2,1,1,0,0,1,0,12.2029,1,1,1.0,Likely SLA breach,1
MSG_03,BANK_01,BANK_07,SERVICE_02,5996,CCY_06,1,2025-12-22 08:00:00,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,0,12,1,0,0,1,0,8.699,0,0,0.0,Not likely to breach SLA,1
MSG_03,BANK_01,BANK_62,SERVICE_02,857890,CCY_10,3,2026-01-12 12:00:00,60.77,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,12,0,1,1,1,1,1,0,13.6622,1,1,0.98,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,100000,CCY_17,3,2026-02-02 11:00:00,153.77,0,1,1,1,0,1,1,1,0,1,0,1,2,1,4,2,11,0,2,1,1,1,1,0,11.5129,1,1,0.99,Likely SLA breach,1
MSG_03,BANK_01,BANK_23,SERVICE_03,7700,CCY_17,2,2025-12-18 15:00:00,153.7,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,2,15,3,12,0,1,0,1,0,8.9491,1,1,0.94,Likely SLA breach,1
